clause_id,checkpoints/llama3.1-8b-hard-panel-control-k100,checkpoints/llama3.1-8b-hard-panel-control-k50
1,-0.1266666666666667,-0.12333333333333335
2,-0.02999999999999997,-0.065
3,-0.010000000000000009,-0.08499999999999996
4,-0.04999999999999999,-0.02999999999999997
5,0.07666666666666672,-0.046666666666666634
6,0.07166666666666666,-0.0616666666666667
7,-0.11000000000000001,0.08500000000000002
8,-0.011666666666666714,-0.05833333333333335
9,-0.0733333333333333,-0.18666666666666665
10,-0.12666666666666665,-0.05333333333333329
11,-0.08333333333333331,-0.23666666666666666
12,0.020000000000000018,-0.10999999999999999
13,-0.165,-0.03999999999999998
14,0.08500000000000002,0.08000000000000002
15,-0.09333333333333332,-0.13166666666666665
16,-0.07666666666666666,-0.03833333333333333
17,-0.15666666666666665,-0.053333333333333344
18,-0.06999999999999995,0.020000000000000018
19,-0.06666666666666665,-0.20333333333333334
20,-0.16999999999999998,-0.15499999999999997
21,-0.09833333333333333,-0.20666666666666667
22,-0.15666666666666668,-0.07833333333333337
23,-0.044999999999999984,-0.10999999999999999
24,-0.125,-0.034999999999999976
25,-0.041666666666666685,-0.013333333333333364
26,0.08833333333333332,-0.06333333333333335
27,0.010000000000000009,-0.05499999999999999
28,-0.24999999999999997,-0.22499999999999998
29,-0.07333333333333336,-0.14666666666666667
30,0.08333333333333331,-0.043333333333333335
31,-0.06499999999999995,0.030000000000000027
32,-0.18833333333333332,-0.11666666666666664
33,-0.10333333333333333,-0.12166666666666665
34,0.024999999999999967,-0.14500000000000002
35,-0.03999999999999998,-0.10499999999999998
36,0.026666666666666672,-0.06166666666666665
37,0.10000000000000003,0.08000000000000002
38,-0.021666666666666667,-0.02833333333333332
39,-0.031666666666666676,-0.2283333333333333
40,-0.04833333333333334,-0.09166666666666667
41,-0.0050000000000000044,-0.08999999999999997
42,-0.04500000000000004,-0.17000000000000004
43,-0.16000000000000003,-0.09000000000000002
44,-0.11333333333333334,-0.14166666666666666
45,0.07166666666666666,0.043333333333333335
46,0.020000000000000018,-0.13499999999999998
47,-0.1433333333333333,-0.09666666666666668
48,-0.14,-0.125
49,0.02833333333333332,-0.033333333333333326
50,-0.265,-0.16500000000000004
51,0.014999999999999958,0.07999999999999996
52,-0.07833333333333331,-0.06666666666666665
53,-0.14166666666666666,-0.14333333333333337
54,-0.023333333333333317,-0.1166666666666667
55,-0.10500000000000004,-0.21000000000000002
56,0.006666666666666654,-0.08166666666666667
57,-0.06833333333333336,-0.08666666666666667
58,-0.13833333333333336,-0.14166666666666672
59,-0.08166666666666667,0.026666666666666672
60,-0.12333333333333335,-0.09666666666666668
61,0.11499999999999999,0.08999999999999997
62,-0.0566666666666667,0.0016666666666666496
63,-0.09333333333333332,-0.11166666666666669
64,-0.019999999999999962,-0.06
65,-0.15833333333333333,-0.15666666666666668
66,-0.12333333333333335,-0.13166666666666665
67,-0.07833333333333331,-0.15166666666666662
68,0.02833333333333332,0.07666666666666666
69,-0.023333333333333317,0.02833333333333332
70,-0.15833333333333333,-0.19166666666666665
71,-0.046666666666666634,-0.0033333333333332993
72,0.0733333333333333,0.06666666666666665
73,0.12666666666666665,-0.06666666666666668
74,-0.19166666666666665,-0.033333333333333326
75,-0.12,-0.10000000000000003
