clause_id,checkpoints/community-alignment/llama3.1-8b-full-us,checkpoints/community-alignment/llama3.1-8b-hard-us,checkpoints/community-alignment/llama3.1-8b-soft-us
1,-0.14975,-0.12425,-0.09725
2,0.025249999999999967,0.03974999999999998,0.03874999999999998
3,0.0945,0.07250000000000001,0.0305
4,0.023499999999999993,0.00899999999999998,-0.04250000000000001
5,0.13024999999999998,0.07375000000000001,0.014750000000000013
6,-0.012749999999999984,0.005250000000000032,0.018750000000000017
7,-0.0995,-0.101,-0.0595
8,0.07250000000000001,0.0010000000000000009,0.05400000000000002
9,0.01849999999999999,0.004500000000000004,0.016999999999999987
10,-0.011249999999999982,0.0037500000000000033,0.008750000000000008
11,0.021249999999999963,-0.013750000000000012,0.07874999999999999
12,0.11750000000000002,0.11350000000000002,-0.003500000000000003
13,0.028499999999999998,-0.04350000000000001,0.03999999999999998
14,0.11599999999999999,0.1235,0.035499999999999976
15,0.14549999999999996,0.098,0.07649999999999998
16,0.10075,0.049250000000000016,0.08374999999999999
17,0.09525,0.07175000000000001,0.08925
18,-0.05099999999999999,-0.025999999999999995,-0.033
19,0.09975,0.09375,0.05274999999999999
20,0.0595,-0.027999999999999997,0.006000000000000005
21,0.09425,0.031249999999999972,0.010749999999999982
22,-0.12425000000000003,-0.06275000000000003,-0.04175000000000004
23,0.127,0.10599999999999998,0.05449999999999999
24,-0.14475,-0.12274999999999997,-0.04374999999999998
25,-0.06925,-0.036250000000000004,0.04425000000000001
26,0.08250000000000002,0.03950000000000001,0.028000000000000025
27,0.009750000000000009,-0.05925,0.025750000000000023
28,0.09675,0.10324999999999998,0.12125
29,0.013749999999999984,0.010250000000000009,0.014749999999999985
30,-0.08824999999999997,-0.05874999999999997,-0.07424999999999995
31,0.08925,0.03225,0.12975000000000003
32,0.01075000000000001,-0.0002500000000000002,-0.034249999999999975
33,0.064,0.04550000000000001,-0.021999999999999992
34,0.14024999999999999,-0.02174999999999999,0.09275
35,0.07350000000000001,0.01100000000000001,0.05300000000000002
36,0.06600000000000003,0.06150000000000003,0.04000000000000001
37,0.005500000000000005,0.05100000000000002,0.061
38,0.05424999999999999,0.07375000000000001,0.08574999999999999
39,0.10625000000000001,0.00924999999999998,0.07075000000000001
40,-0.092,-0.089,-0.02149999999999999
41,-0.119,-0.07350000000000001,-0.07500000000000001
42,0.11149999999999999,0.07599999999999998,0.12
43,-0.04275000000000001,-0.026249999999999996,-0.04225000000000001
44,0.09075,0.04025000000000001,0.07275000000000001
45,0.131,0.08299999999999999,0.04099999999999998
46,0.12374999999999997,0.023749999999999993,0.036250000000000004
47,-0.057499999999999996,-0.026999999999999996,-0.07299999999999998
48,0.09575,-0.0027500000000000024,0.13324999999999998
49,0.04250000000000001,0.012500000000000011,0.057499999999999996
50,0.007499999999999979,-0.02350000000000002,0.0034999999999999754
51,-0.07850000000000001,-0.026500000000000024,0.022499999999999964
52,0.09599999999999997,0.1175,0.043999999999999984
53,-0.04400000000000001,-0.013500000000000012,-0.035
54,0.0007500000000000007,-0.02375000000000002,0.026749999999999996
55,0.006499999999999978,-0.047000000000000014,0.03799999999999998
56,0.08725,0.03975000000000001,0.06425
57,-0.010000000000000009,0.0025000000000000022,0.037500000000000006
58,-0.07949999999999999,-0.057999999999999996,-0.057499999999999996
59,-0.09675000000000003,-0.11225000000000004,-0.08475000000000005
60,-0.14150000000000001,-0.097,-0.046500000000000014
61,0.12000000000000002,0.10500000000000001,0.05750000000000002
62,0.16274999999999995,0.08574999999999998,0.14775
63,0.06574999999999998,0.03624999999999998,0.046749999999999986
64,-0.10625000000000001,-0.06675000000000003,-0.030750000000000027
65,-0.05175000000000002,-0.06025,-0.026749999999999996
66,-0.05175000000000002,-0.0002500000000000002,-0.09675
67,0.11150000000000002,0.027999999999999997,0.1005
68,-0.07649999999999998,-0.05049999999999999,-0.04049999999999998
69,-0.15100000000000002,-0.10800000000000001,-0.048500000000000015
70,0.14625,0.05475000000000002,0.07525000000000001
71,-0.01874999999999999,-0.057249999999999995,0.027249999999999996
72,0.11025000000000001,0.06525,0.09325
73,-0.10575000000000001,-0.04325000000000001,-0.047250000000000014
74,-0.010749999999999982,-0.00924999999999998,-0.04124999999999998
75,-0.007000000000000006,0.004500000000000004,0.03
