clause_id,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-control-k100,checkpoints/llama3.1-8b-soft-panel-control-k50
1,0.355,0.3616666666666667,0.2833333333333333
2,0.35,0.3383333333333333,0.31166666666666665
3,0.275,0.35333333333333333,0.37166666666666665
4,0.31333333333333335,0.36,0.32666666666666666
5,0.2733333333333333,0.37166666666666665,0.355
6,0.305,0.37333333333333335,0.32166666666666666
7,0.365,0.4116666666666667,0.22333333333333333
8,0.3016666666666667,0.31,0.3883333333333333
9,0.31166666666666665,0.4216666666666667,0.26666666666666666
10,0.34833333333333333,0.285,0.36666666666666664
11,0.22,0.3883333333333333,0.39166666666666666
12,0.325,0.3,0.375
13,0.34,0.37833333333333335,0.2816666666666667
14,0.24166666666666667,0.35,0.4083333333333333
15,0.2816666666666667,0.36666666666666664,0.3516666666666667
16,0.27166666666666667,0.3516666666666667,0.37666666666666665
17,0.3566666666666667,0.30666666666666664,0.33666666666666667
18,0.25,0.4266666666666667,0.3233333333333333
19,0.22833333333333333,0.36333333333333334,0.4083333333333333
20,0.33,0.35,0.32
21,0.255,0.3433333333333333,0.40166666666666667
22,0.4166666666666667,0.295,0.28833333333333333
23,0.33166666666666667,0.32166666666666666,0.3466666666666667
24,0.4116666666666667,0.31,0.2783333333333333
25,0.37833333333333335,0.31,0.31166666666666665
26,0.3016666666666667,0.32,0.37833333333333335
27,0.2683333333333333,0.39,0.3416666666666667
28,0.3333333333333333,0.37666666666666665,0.29
29,0.2733333333333333,0.3283333333333333,0.3983333333333333
30,0.37666666666666665,0.31333333333333335,0.31
31,0.24,0.3383333333333333,0.4216666666666667
32,0.20833333333333334,0.3933333333333333,0.3983333333333333
33,0.135,0.4716666666666667,0.3933333333333333
34,0.24,0.375,0.385
35,0.30833333333333335,0.365,0.32666666666666666
36,0.20833333333333334,0.40166666666666667,0.39
37,0.35,0.29,0.36
38,0.385,0.27666666666666667,0.3383333333333333
39,0.25333333333333335,0.3883333333333333,0.35833333333333334
40,0.235,0.4083333333333333,0.3566666666666667
41,0.34833333333333333,0.345,0.30666666666666664
42,0.33666666666666667,0.35,0.31333333333333335
43,0.28833333333333333,0.3383333333333333,0.37333333333333335
44,0.37666666666666665,0.29,0.3333333333333333
45,0.335,0.3616666666666667,0.30333333333333334
46,0.27,0.385,0.345
47,0.37166666666666665,0.3,0.3283333333333333
48,0.31,0.345,0.345
49,0.355,0.3416666666666667,0.30333333333333334
50,0.325,0.32666666666666666,0.34833333333333333
51,0.435,0.285,0.28
52,0.29333333333333333,0.3,0.4066666666666667
53,0.2866666666666667,0.34,0.37333333333333335
54,0.37166666666666665,0.35833333333333334,0.27
55,0.23166666666666666,0.41,0.35833333333333334
56,0.14333333333333334,0.4166666666666667,0.44
57,0.27666666666666667,0.39166666666666666,0.33166666666666667
58,0.3283333333333333,0.36333333333333334,0.30833333333333335
59,0.3516666666666667,0.2966666666666667,0.3516666666666667
60,0.34833333333333333,0.2916666666666667,0.36
61,0.14166666666666666,0.41,0.4483333333333333
62,0.34,0.32666666666666666,0.3333333333333333
63,0.17333333333333334,0.4166666666666667,0.41
64,0.375,0.3466666666666667,0.2783333333333333
65,0.35,0.37833333333333335,0.27166666666666667
66,0.3516666666666667,0.30666666666666664,0.3416666666666667
67,0.27166666666666667,0.385,0.3433333333333333
68,0.42333333333333334,0.30833333333333335,0.2683333333333333
69,0.38,0.345,0.275
70,0.26666666666666666,0.37166666666666665,0.3616666666666667
71,0.34833333333333333,0.39166666666666666,0.26
72,0.35333333333333333,0.3616666666666667,0.285
73,0.37,0.325,0.305
74,0.13166666666666665,0.43166666666666664,0.43666666666666665
75,0.25666666666666665,0.3416666666666667,0.40166666666666667
