clause_id,checkpoints/llama3.1-8b-soft-panel-control-k100,checkpoints/llama3.1-8b-soft-panel-control-k50
1,0.00666666666666671,-0.07166666666666666
2,-0.011666666666666659,-0.03833333333333333
3,0.07833333333333331,0.09666666666666662
4,0.046666666666666634,0.013333333333333308
5,0.09833333333333333,0.08166666666666667
6,0.06833333333333336,0.016666666666666663
7,0.04666666666666669,-0.14166666666666666
8,0.008333333333333304,0.08666666666666661
9,0.11000000000000004,-0.044999999999999984
10,-0.06333333333333335,0.018333333333333313
11,0.1683333333333333,0.17166666666666666
12,-0.025000000000000022,0.04999999999999999
13,0.03833333333333333,-0.05833333333333335
14,0.10833333333333331,0.16666666666666666
15,0.08499999999999996,0.07
16,0.08000000000000002,0.10499999999999998
17,-0.050000000000000044,-0.020000000000000018
18,0.1766666666666667,0.0733333333333333
19,0.135,0.18
20,0.019999999999999962,-0.010000000000000009
21,0.08833333333333332,0.14666666666666667
22,-0.1216666666666667,-0.12833333333333335
23,-0.010000000000000009,0.015000000000000013
24,-0.10166666666666668,-0.13333333333333336
25,-0.06833333333333336,-0.06666666666666671
26,0.018333333333333313,0.07666666666666666
27,0.1216666666666667,0.07333333333333336
28,0.043333333333333335,-0.043333333333333335
29,0.05499999999999999,0.125
30,-0.0633333333333333,-0.06666666666666665
31,0.09833333333333333,0.1816666666666667
32,0.18499999999999997,0.18999999999999997
33,0.33666666666666667,0.2583333333333333
34,0.135,0.14500000000000002
35,0.05666666666666664,0.018333333333333313
36,0.19333333333333333,0.18166666666666667
37,-0.06,0.010000000000000009
38,-0.10833333333333334,-0.04666666666666669
39,0.13499999999999995,0.10499999999999998
40,0.17333333333333334,0.1216666666666667
41,-0.003333333333333355,-0.041666666666666685
42,0.013333333333333308,-0.023333333333333317
43,0.04999999999999999,0.08500000000000002
44,-0.08666666666666667,-0.043333333333333335
45,0.026666666666666672,-0.031666666666666676
46,0.11499999999999999,0.07499999999999996
47,-0.07166666666666666,-0.043333333333333335
48,0.034999999999999976,0.034999999999999976
49,-0.013333333333333308,-0.05166666666666664
50,0.0016666666666666496,0.023333333333333317
51,-0.15000000000000002,-0.15499999999999997
52,0.006666666666666654,0.11333333333333334
53,0.053333333333333344,0.08666666666666667
54,-0.013333333333333308,-0.10166666666666663
55,0.17833333333333332,0.12666666666666668
56,0.2733333333333333,0.29666666666666663
57,0.11499999999999999,0.05499999999999999
58,0.03500000000000003,-0.019999999999999962
59,-0.05499999999999999,0.0
60,-0.05666666666666664,0.011666666666666659
61,0.2683333333333333,0.30666666666666664
62,-0.013333333333333364,-0.00666666666666671
63,0.24333333333333335,0.23666666666666664
64,-0.02833333333333332,-0.09666666666666668
65,0.028333333333333377,-0.07833333333333331
66,-0.04500000000000004,-0.010000000000000009
67,0.11333333333333334,0.07166666666666666
68,-0.11499999999999999,-0.15500000000000003
69,-0.03500000000000003,-0.10499999999999998
70,0.10499999999999998,0.09500000000000003
71,0.043333333333333335,-0.08833333333333332
72,0.00833333333333336,-0.06833333333333336
73,-0.044999999999999984,-0.065
74,0.3,0.305
75,0.08500000000000002,0.14500000000000002
