clause_id,checkpoints/llama3.1-8b-adversary-hard,checkpoints/llama3.1-8b-adversary-soft,checkpoints/llama3.1-8b-full-prism,checkpoints/llama3.1-8b-hard-panel,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-us-rep,meta-llama/Llama-3.1-8B
1,0.17714285714285713,0.08619047619047619,0.09666666666666666,0.14238095238095239,0.10238095238095238,0.16047619047619047,0.23476190476190475
2,0.1376190476190476,0.1326190476190476,0.14642857142857144,0.15476190476190477,0.1523809523809524,0.15,0.1261904761904762
3,0.09285714285714286,0.20047619047619047,0.19071428571428573,0.15761904761904763,0.2092857142857143,0.08166666666666667,0.06738095238095237
4,0.15571428571428572,0.14785714285714285,0.15023809523809523,0.1388095238095238,0.14666666666666667,0.13214285714285715,0.12857142857142856
5,0.11904761904761904,0.18761904761904763,0.18642857142857142,0.15404761904761904,0.17642857142857143,0.12928571428571428,0.047142857142857146
6,0.08666666666666667,0.18857142857142858,0.15261904761904763,0.1676190476190476,0.1488095238095238,0.15928571428571428,0.09642857142857143
7,0.18119047619047618,0.10404761904761904,0.10738095238095238,0.11095238095238096,0.10023809523809524,0.17333333333333334,0.22285714285714286
8,0.10547619047619047,0.14952380952380953,0.15119047619047618,0.1792857142857143,0.175,0.14452380952380953,0.095
9,0.11023809523809523,0.1492857142857143,0.16523809523809524,0.15071428571428572,0.17642857142857143,0.12142857142857143,0.12666666666666668
10,0.13595238095238096,0.11119047619047619,0.14595238095238094,0.14547619047619048,0.12738095238095237,0.1580952380952381,0.17595238095238094
11,0.14857142857142858,0.16476190476190475,0.15571428571428572,0.11023809523809523,0.15333333333333332,0.14261904761904762,0.12476190476190477
12,0.15047619047619049,0.18071428571428572,0.18333333333333332,0.15452380952380954,0.18119047619047618,0.1319047619047619,0.017857142857142856
13,0.1138095238095238,0.18476190476190477,0.14785714285714285,0.10285714285714286,0.1707142857142857,0.14714285714285713,0.13285714285714287
14,0.10285714285714286,0.18476190476190477,0.17523809523809525,0.18023809523809523,0.21,0.10928571428571429,0.03761904761904762
15,0.0569047619047619,0.19095238095238096,0.17595238095238094,0.17023809523809524,0.2019047619047619,0.12238095238095238,0.08166666666666667
16,0.13642857142857143,0.145,0.14833333333333334,0.17404761904761903,0.19785714285714287,0.11047619047619048,0.08785714285714286
17,0.11714285714285715,0.17261904761904762,0.16666666666666666,0.16714285714285715,0.18619047619047618,0.16238095238095238,0.027857142857142858
18,0.17547619047619048,0.12833333333333333,0.13857142857142857,0.15761904761904763,0.12285714285714286,0.16166666666666665,0.11547619047619048
19,0.07928571428571428,0.18785714285714286,0.1823809523809524,0.13785714285714284,0.19833333333333333,0.13666666666666666,0.07761904761904762
20,0.10714285714285714,0.18428571428571427,0.15261904761904763,0.13095238095238096,0.1792857142857143,0.1357142857142857,0.11
21,0.1357142857142857,0.15166666666666667,0.16666666666666666,0.1676190476190476,0.18476190476190477,0.12452380952380952,0.06904761904761905
22,0.1692857142857143,0.09904761904761905,0.1061904761904762,0.14976190476190476,0.08357142857142857,0.16285714285714287,0.2292857142857143
23,0.08785714285714286,0.17476190476190476,0.21571428571428572,0.19595238095238096,0.18833333333333332,0.09214285714285714,0.04523809523809524
24,0.18619047619047618,0.11214285714285714,0.09666666666666666,0.13738095238095238,0.08,0.1469047619047619,0.24071428571428571
25,0.1838095238095238,0.09476190476190476,0.11857142857142858,0.12214285714285714,0.08714285714285715,0.17452380952380953,0.21904761904761905
26,0.18047619047619048,0.1473809523809524,0.16976190476190475,0.1719047619047619,0.17095238095238094,0.11047619047619048,0.04904761904761905
27,0.14285714285714285,0.13285714285714287,0.1676190476190476,0.14142857142857143,0.15214285714285714,0.15857142857142856,0.10452380952380952
28,0.13,0.17952380952380953,0.1919047619047619,0.16476190476190475,0.19904761904761906,0.09404761904761905,0.04071428571428572
29,0.16095238095238096,0.1269047619047619,0.11071428571428571,0.15761904761904763,0.1330952380952381,0.15880952380952382,0.1519047619047619
30,0.16285714285714287,0.10142857142857142,0.11952380952380952,0.14333333333333334,0.09309523809523809,0.1626190476190476,0.21714285714285714
31,0.12142857142857143,0.14285714285714285,0.17166666666666666,0.14809523809523809,0.1792857142857143,0.12833333333333333,0.10833333333333334
32,0.1530952380952381,0.14023809523809525,0.14595238095238094,0.14809523809523809,0.1680952380952381,0.12047619047619047,0.12404761904761905
33,0.14333333333333334,0.16095238095238096,0.1957142857142857,0.13690476190476192,0.1692857142857143,0.12666666666666668,0.06714285714285714
34,0.12261904761904761,0.13976190476190475,0.18142857142857144,0.12738095238095237,0.19738095238095238,0.1180952380952381,0.11333333333333333
35,0.08071428571428571,0.17642857142857143,0.18785714285714286,0.16476190476190475,0.2007142857142857,0.1169047619047619,0.07261904761904762
36,0.14214285714285715,0.14285714285714285,0.1707142857142857,0.1442857142857143,0.14214285714285715,0.16690476190476192,0.09095238095238095
37,0.2123809523809524,0.13642857142857143,0.13,0.16166666666666665,0.12428571428571429,0.13357142857142856,0.10166666666666667
38,0.11928571428571429,0.15261904761904763,0.1676190476190476,0.1519047619047619,0.1773809523809524,0.13714285714285715,0.09404761904761905
39,0.09904761904761905,0.1661904761904762,0.18166666666666667,0.15071428571428572,0.2088095238095238,0.10119047619047619,0.09238095238095238
40,0.1492857142857143,0.11190476190476191,0.1069047619047619,0.18261904761904763,0.11642857142857142,0.1419047619047619,0.19095238095238096
41,0.15333333333333332,0.08333333333333333,0.11404761904761905,0.19738095238095238,0.08904761904761904,0.17595238095238094,0.1869047619047619
42,0.15761904761904763,0.18119047619047618,0.16595238095238096,0.14476190476190476,0.1980952380952381,0.09904761904761905,0.05333333333333334
43,0.15047619047619049,0.14666666666666667,0.11404761904761905,0.12547619047619046,0.09690476190476191,0.1792857142857143,0.18714285714285714
44,0.1626190476190476,0.13904761904761906,0.14166666666666666,0.19523809523809524,0.15357142857142858,0.1169047619047619,0.09095238095238095
45,0.05619047619047619,0.20333333333333334,0.21,0.16071428571428573,0.20714285714285716,0.10738095238095238,0.05523809523809524
46,0.07285714285714286,0.20023809523809524,0.18142857142857144,0.14595238095238094,0.2042857142857143,0.145,0.05023809523809524
47,0.1519047619047619,0.09142857142857143,0.12071428571428572,0.1438095238095238,0.09023809523809524,0.19214285714285714,0.20976190476190476
48,0.10214285714285715,0.18095238095238095,0.18761904761904763,0.16,0.19666666666666666,0.1,0.07261904761904762
49,0.09404761904761905,0.18619047619047618,0.14023809523809525,0.08166666666666667,0.14976190476190476,0.20785714285714285,0.14023809523809525
50,0.13595238095238096,0.15119047619047618,0.13333333333333333,0.145,0.1626190476190476,0.13857142857142857,0.13333333333333333
51,0.1730952380952381,0.0911904761904762,0.10404761904761904,0.15761904761904763,0.09023809523809524,0.18928571428571428,0.19452380952380952
52,0.1357142857142857,0.18261904761904763,0.1519047619047619,0.11523809523809524,0.16166666666666665,0.1457142857142857,0.10714285714285714
53,0.10238095238095238,0.15642857142857142,0.15880952380952382,0.11595238095238095,0.1469047619047619,0.18642857142857142,0.1330952380952381
54,0.16595238095238096,0.13166666666666665,0.15166666666666667,0.14261904761904762,0.12261904761904761,0.1442857142857143,0.1411904761904762
55,0.12857142857142856,0.15928571428571428,0.16952380952380952,0.1407142857142857,0.1773809523809524,0.10857142857142857,0.11595238095238095
56,0.17595238095238094,0.14285714285714285,0.13690476190476192,0.17452380952380953,0.1457142857142857,0.13666666666666666,0.08738095238095238
57,0.1488095238095238,0.14023809523809525,0.1392857142857143,0.11404761904761905,0.14904761904761904,0.1830952380952381,0.12547619047619046
58,0.17095238095238094,0.1,0.11952380952380952,0.13095238095238096,0.10738095238095238,0.1692857142857143,0.2019047619047619
59,0.1823809523809524,0.07119047619047619,0.09047619047619047,0.1880952380952381,0.06595238095238096,0.16785714285714284,0.23404761904761906
