clause_id,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset
1,-0.06225,-0.03875000000000001,-0.03025
2,0.05550000000000002,0.026500000000000024,0.04050000000000001
3,-0.013500000000000012,0.023999999999999994,-0.0030000000000000027
4,0.05074999999999999,0.004750000000000004,-0.016750000000000015
5,0.07099999999999998,-0.019000000000000017,0.07049999999999998
6,0.003250000000000003,0.03125,-0.01075000000000001
7,-0.08349999999999999,2.7755575615628914e-17,-0.04149999999999998
8,0.044249999999999984,0.013749999999999984,-0.02174999999999999
9,0.0027500000000000024,0.04125000000000001,0.022249999999999992
10,0.007500000000000007,0.028499999999999998,-0.003500000000000003
11,-0.02149999999999999,0.09349999999999997,-0.021999999999999992
12,0.07900000000000001,-0.010999999999999982,0.0645
13,0.0020000000000000018,0.07100000000000001,-0.05300000000000002
14,0.08324999999999999,-0.00275000000000003,-0.0042500000000000315
15,0.04999999999999999,0.015499999999999986,-0.04550000000000001
16,0.026499999999999996,0.04949999999999999,0.099
17,0.08775000000000002,0.11475000000000002,0.08375000000000002
18,0.026999999999999996,-0.014000000000000012,0.004500000000000004
19,0.014249999999999985,0.0017499999999999738,-0.029750000000000026
20,-0.048250000000000015,-0.03875000000000001,-0.08175000000000002
21,0.06224999999999997,0.023249999999999993,0.05074999999999999
22,-0.05875,0.009750000000000009,-0.014749999999999985
23,0.08574999999999999,0.03225,0.08074999999999999
24,-0.08825,0.012250000000000011,-0.005250000000000005
25,-0.059500000000000025,0.05199999999999999,0.0024999999999999745
26,-0.012499999999999983,0.05500000000000002,0.07500000000000001
27,0.015249999999999986,0.057249999999999995,-0.026249999999999996
28,0.089,0.11149999999999999,0.07949999999999999
29,0.015250000000000014,-0.03674999999999998,0.030250000000000027
30,-0.07599999999999998,-0.06199999999999997,0.02300000000000002
31,-0.03224999999999997,0.03925000000000001,-0.015749999999999986
32,-0.04625000000000001,-0.04025000000000001,-0.022249999999999992
33,0.02225000000000002,0.0007500000000000284,0.013250000000000012
34,-0.0007500000000000007,0.12125,-0.03925000000000001
35,0.021999999999999992,-0.008000000000000007,-0.016500000000000015
36,0.028499999999999998,0.0010000000000000009,-0.0020000000000000018
37,0.01100000000000001,0.061,0.048000000000000015
38,0.04824999999999999,0.05324999999999999,0.009749999999999981
39,-0.064,0.048000000000000015,-0.0615
40,-0.007749999999999979,0.0032500000000000306,0.013250000000000012
41,-0.04224999999999998,-0.006750000000000006,-0.017249999999999988
42,0.017999999999999988,0.05449999999999999,-0.027499999999999997
43,-0.009000000000000008,-0.04150000000000001,-0.047000000000000014
44,0.03075,0.035250000000000004,0.037750000000000006
45,0.05499999999999999,0.031,0.01150000000000001
46,0.036000000000000004,0.021999999999999992,-0.008000000000000007
47,-0.027000000000000024,-0.058500000000000024,-0.027000000000000024
48,0.01924999999999999,0.14775,0.014249999999999985
49,0.067,0.05750000000000002,0.035500000000000004
50,-0.02200000000000002,0.012999999999999984,0.0015000000000000013
51,0.012749999999999984,0.046249999999999986,0.03974999999999998
52,0.05724999999999997,0.03224999999999997,0.024249999999999994
53,0.039750000000000035,0.010750000000000037,-0.00924999999999998
54,-0.005000000000000032,-0.010000000000000009,-0.03500000000000003
55,-0.04049999999999998,0.0305,-0.04249999999999998
56,0.03325,0.03925000000000001,-0.01125000000000001
57,-0.014750000000000013,0.07275000000000001,0.0007500000000000007
58,-0.06475,-0.06075,-0.06575
59,-0.06075,-0.016250000000000014,-0.049250000000000016
60,-0.008500000000000008,0.05499999999999999,-0.014000000000000012
61,0.07325000000000001,-0.0062500000000000056,0.01175000000000001
62,0.05300000000000002,0.10900000000000001,0.088
63,0.02124999999999999,0.04025000000000001,0.014750000000000013
64,-0.04000000000000001,0.0050000000000000044,-0.024999999999999994
65,-0.08124999999999999,0.03375,-0.01874999999999999
66,0.017750000000000016,-0.04924999999999999,-0.02975
67,0.006000000000000005,0.07950000000000002,-0.005500000000000005
68,0.017250000000000015,0.014750000000000013,-0.025749999999999995
69,-0.016750000000000015,0.03325,0.01974999999999999
70,0.0685,0.008000000000000007,0.006000000000000005
71,-0.028249999999999997,0.014250000000000013,-0.0022499999999999742
72,0.03225,0.07425000000000001,0.014750000000000013
73,-0.009000000000000008,0.0305,-0.019000000000000017
74,-0.025499999999999995,-0.017999999999999988,-0.059
75,0.02124999999999999,0.023749999999999993,-0.0037500000000000033
